title,translation
Masthead,报头
Education Policy and Intergenerational Transfers in Equilibrium,教育政策和代际转移处于平衡状态
Aggregate Implications of Innovation Policy,聚合创新政策的影响
The Social Cost of Carbon with Economic and Climate Risks,碳的社会成本与经济和气候的风险
The Value of Flexible Work: Evidence from Uber Drivers,灵活的工作的价值:证据来自超级司机
Educational Assortative Mating and Household Income Inequality,教育选型交配和家庭收入不平等
The Value of Medicaid: Interpreting Results from the Oregon Health Insurance Experiment,医疗补助的价值:从俄勒冈州健康保险解释结果的实验
Costly Concessions: An Empirical Framework for Matching with Imperfectly Transferable Utility,昂贵的让步:一个实证框架与不完全匹配的可转让的效用
"Liquidity, Business Cycles, and Monetary Policy",流动性、商业周期和货币政策
Merger Review for Markets with Buyer Power,合并审查与买方市场的力量
Price Caps as Welfare-Enhancing Coopetition,价格上限是Welfare-EnhancingCoopetition
Marginal Treatment Effects from a Propensity Score Perspective,边际从倾向评分角度治疗效果
"JPE Turnaround Times, Previous Two Years","JPE周转时间,前两年"
Index to Volume 127,指数127卷
Recent Referees,最近的裁判
Back Cover,封底
Masthead,报头
The Simple Economics of Optimal Persuasion,简单的最优经济说服
Financial Frictions and Fluctuations in Volatility,金融摩擦和波动的波动
Shocks versus Responsiveness: What Drives Time-Varying Dispersion?,冲击和响应性:时变色散的动力是什么?
"Trouble in the Tails? What We Know about Earnings Nonresponse 30 Years after Lillard, Smith, and Welch","麻烦的反面?我们知道收益里沃德Nonresponse30年之后,史密斯和韦尔奇"
The Neolithic Agricultural Revolution and the Origins of Private Property,新石器时代的农业革命和私有财产的起源
The Aggregate Productivity Effects of Internal Migration: Evidence from Indonesia,总生产力的影响内部迁移:证据来自印尼
Collusion in Auctions with Constrained Bids: Theory and Evidence from Public Procurement,勾结与限制投标拍卖:从公共采购理论和证据
Efficiency and Stability in Large Matching Markets,在大型匹配市场效率和稳定性
"University Choice: The Role of Expected Earnings, Nonpecuniary Outcomes, and Financial Constraints","大学的选择:预期收益的作用,Nonpecuniary结果,和金融约束"
"Overlapping Ownership, R&D Spillovers, and Antitrust Policy","重叠的所有权,R"
The Gender Gap between Earnings Distributions,性别收入差距之间的分布
Employment Hysteresis from the Great Recession,从大衰退就业滞后
"Erratum: Children, Time Allocation, and Consumption Insurance","错误:孩子,时间分配和消费保险"
"JPE Turnaround Times, Previous Two Years","JPE周转时间,前两年"
Recent Referees,最近的裁判
Back Cover,封底
Masthead,报头
A Demand System Approach to Asset Pricing,需求系统资产定价方法
Early Life Circumstance and Adult Mental Health,早期的生活环境和成人心理健康
Search Frictions and Market Power in Negotiated-Price Markets,在协商价格市场搜索摩擦和市场力量
On the Empirical Content of Cheap-Talk Signaling: An Application to Bargaining,廉价的磋商的经验内容信号:一个应用程序来讨价还价
The Sad Truth about Happiness Scales,关于幸福的可悲的事实
Moral Incentives in Credit Card Debt Repayment: Evidence from a Field Experiment,道德激励信用卡债务偿还:证据从田间试验
How Segregated Is Urban Consumption?,种族隔离的城市消费如何?
Muddled Information,混乱的信息
Exporting and Plant-Level Efficiency Gains: It’s in the Measure,出口和工厂级效率提升:在这项措施
Experimenting with Measurement Error: Techniques with Applications to the Caltech Cohort Study,试验测量误差:技术与应用程序到加州理工学院的队列研究
"Exit, Voice, and Political Change: Evidence from Swedish Mass Migration to the United States","出口,声音,和政治变革:证据来自瑞典的大规模移民到美国"
Debt Constraints and Employment,债务约束和就业
"JPE Turnaround Times, Previous Two Years","JPE周转时间,前两年"
Recent Referees,最近的裁判
Back Cover,封底
Masthead,报头
Are Negative Supply Shocks Expansionary at the Zero Lower                         Bound?,是负面的供给冲击在零下限扩张吗?
"Erasing Ethnicity? Propaganda, Nation Building, and Identity in                         Rwanda","消除种族吗?宣传,国家建设,在卢旺达和身份"
Who Wants Affordable Housing in Their Backyard? An Equilibrium                         Analysis of Low-Income Property Development,谁希望自己的后院保障性住房?一个平衡的分析低收入房地产开发
Uncertainty Aversion and Systemic Risk,不确定性规避系统性风险
Two-Sided Matching via Balanced Exchange,双边匹配通过平衡的交换
Religion and Depression in Adolescence,宗教在青春期和抑郁
An Empirical Analysis of Racial Differences in Police Use of                         Force,种族差异的实证分析警察使用武力
State Taxation and the Reallocation of Business Activity:                         Evidence from Establishment-Level Data,国家税收和商业活动的重新分配:证据从机构层级数据
Credit Supply and the Housing Boom,信贷供给和房地产繁荣
"Intelligence, Personality, and Gains from Cooperation in Repeated                         Interactions",智力、人格和收益重复互动合作
"House Prices, Local Demand, and Retail Prices","房价,当地的需求,和零售价格"
Tax Cuts for Whom? Heterogeneous Effects of Income Tax Changes on                         Growth and Employment,减税为谁?异构所得税变化对经济增长和就业的影响
"JPE Turnaround Times, Previous Two Years","JPE周转时间,前两年"
Recent Referees,最近的裁判
Back Cover,封底
Masthead,报头
Network Contagion and Interbank Amplification during the Great Depression,网络危机和银行间放大在大萧条时期
Internalizing Global Value Chains: A Firm-Level Analysis,内在全球价值链:公司级的分析
Land Reform and Sex Selection in China,"土地改革,在中国性别选择"
"Watersheds in Child Mortality: The Role of Effective Water and Sewerage Infrastructure, 1880–1920","儿童死亡率的分水岭:有效的供水和排水基础设施的作用,1880-1920"
"Production Networks, Geography, and Firm Performance","生产网络,地理,和公司的性能"
Counterparty Risk and the Establishment of the New York Stock Exchange Clearinghouse,交易对手风险和纽约证券交易所的成立清算所
A Network Approach to Public Goods,网络公共物品的方法
The Friendship Paradox and Systematic Biases in Perceptions and Social Norms,友谊悖论和系统化的偏见在认知和社会规范
Research Proximity and Productivity: Long-Term Evidence from Agriculture,从农业研究接近和生产力:长期的证据
On the Intergenerational Transmission of Economic Status,在代际经济地位的传播
Is It Harder for Older Workers to Find Jobs? New and Improved Evidence from a Field Experiment,老员工更难找到工作吗?从现场试验新的和改进的证据
Erratum: The Demand for Effective Charter Schools,错误:有效的特许学校的需求
"JPE Turnaround Times, Previous Two Years","JPE周转时间,前两年"
Recent Referees,最近的裁判
Back Cover,封底
Masthead,报头
Temporary Migration and Endogenous Risk Sharing in Village India,临时迁移和在印度村庄内生风险分担
Democracy Does Cause Growth,民主会导致经济增长
Private Outsourcing and Competition: Subsidized Food Distribution in Indonesia,私人外包和竞争:补贴食品分布在印尼
Equilibrium Search with Multiple Attributes and the Impact of Equal Opportunities for Women,平衡搜索多个属性和女性平等机会的影响
“Nash-in-Nash” Bargaining: A Microfoundation for Applied Work,“Nash-in-Nash”讨价还价:Microfoundation应用工作
Monopolistic Competition and Optimum Product Diversity under Firm Heterogeneity,垄断竞争和最佳产品多样性在公司异质性
The Market for Financial Adviser Misconduct,财务顾问市场不当行为
Culture and Taxes,文化和税收
Screening and Adverse Selection in Frictional Markets,筛查和摩擦市场的逆向选择
Dispute Resolution Institutions and Strategic Militarization,争端解决机构和战略军事化
Random Choice and Learning,随机选择和学习
Redistributing Income under Proportional Representation: A Correction,重新分配收入比例代表制下:出现回调
JPE Turnaround Times,JPE周转时间
Recent Referees,最近的裁判
Back Cover,封底
