title,translation
Front Matter,前页
"Declining Search Frictions, Unemployment, and Growth",下降搜索摩擦失业和经济增长
What Goes Up May Not Come Down: Asymmetric Incidence of Value-Added Taxes,上升可能不下来:不对称的发病率增值税
Ex Ante Returns and Occupational Choice,事前的回报和职业选择
Commitment versus Flexibility with Costly Verification,承诺与灵活性与昂贵的验证
Welfare Analysis with Heterogeneous Risk Preferences,福利分析异质风险偏好
A/B Testing with Fat Tails,A/B测试与脂肪尾巴
Erratum: Fatter Attraction: Anthropometric and Socioeconomic Matching on the Marriage Market,错误:胖的吸引力:人体测量和社会经济在婚姻市场匹配
"JPE Turnaround Times, Previous Two Years","JPE周转时间,前两年"
Index to Volume 128,指数128卷
Recent Referees,最近的裁判
Back Cover,封底
Front Matter,前页
Political Cycles and Stock Returns,政治周期和股票回报
How Do Doctors Respond to Incentives? Unintended Consequences of Paying Doctors to Reduce Costs,医生如何回应激励?意想不到的后果的医生来降低成本
Firm Volatility in Granular Networks,公司在细粒度网络波动
Copyrights and Creativity: Evidence from Italian Opera in the Napoleonic Age,版权和创造力:证据来自意大利歌剧在拿破仑时代
Productivity and Organization in Portuguese Firms,葡萄牙公司的生产力和组织
Equilibrium Labor Market Search and Health Insurance Reform,劳动力市场均衡搜索和医疗保险改革
Occupational Licensing and Maternal Health: Evidence from Early Midwifery Laws,职业许可和孕产妇健康:证据从早期助产学法律
Erratum: Chinese College Admissions and School Choice Reforms: A Theoretical Analysis,错误:中国大学招生和学校选择改革:理论分析
"JPE Turnaround Times, Previous Two Years","JPE周转时间,前两年"
Recent Referees,最近的裁判
Back Cover,封底
Front Matter,前页
Moral Values and Voting,道德价值观和投票
Intergenerational Redistribution in the Great Recession,代际再分配在大衰退中无法自拔
Collusion in Markets with Syndication,勾结与联合市场
Identification in Auction Models with Interdependent Costs,在拍卖模型识别与相互依存的成本
"Common Values, Unobserved Heterogeneity, and Endogenous Entry in US Offshore Oil Lease Auctions",共同的价值观、未被注意的异质性和内源性进入美国近海石油租赁拍卖
Motivated False Memory,动机错误记忆
The Economic Origins of Conflict in Africa,在非洲的经济冲突的起源
An Empirical Analysis of Racial Differences in Police Use of Force: A Comment,种族差异的实证分析警察使用武力:评论
An Empirical Analysis of Racial Differences in Police Use of Force: A Response,种族差异的实证分析警察使用武力:响应
"JPE Turnaround Times, Previous Two Years","JPE周转时间,前两年"
Recent Referees,最近的裁判
Back Cover,封底
Front Matter,前页
The Housing Boom and Bust: Model Meets Evidence,房地产繁荣与萧条:模型符合证据
Experience of Communal Conflicts and Intergroup Lending,体验公共冲突和群体间的贷款
Understanding How Low Levels of Early Lead Exposure Affect Children’s Life Trajectories,了解低水平铅暴露影响儿童早期生活的轨迹
Credit Market Disruptions and Liquidity Spillover Effects in the Supply Chain,信贷市场供应链的中断和流动性溢出效应
"Income and Wealth Inequality in America, 1949–2016","收入和财富不平等在美国,1949-2016"
Self-Fulfilling Runs: Evidence from the US Life Insurance Industry,自我实现:证据来自美国人寿保险行业
"Vertical Integration, Supplier Behavior, and Quality Upgrading among Exporters","垂直整合,供应商的行为,和质量升级出口商之一"
Surprise! Out-of-Network Billing for Emergency Care in the United States,惊喜!网外计费在美国紧急护理
"JPE Turnaround Times, Previous Two Years","JPE周转时间,前两年"
Recent Referees,最近的裁判
Back Cover,封底
Front Matter,前页
The Tail That Wags the Economy: Beliefs and Persistent Stagnation,尾巴摇经济:信仰和持续停滞
Debates: Voting and Expenditure Responses to Political Communication,辩论:投票和支出应对政治沟通
Improving College Instruction through Incentives,通过激励提高大学教学
